rid,id,text
g1079435-d3498474-r271346275,g1079435-d3498474-r271346275:0,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto"
g1080298-d1332050-r275655485,g1080298-d1332050-r275655485:0,"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service."
g1080298-d1332050-r275655485,g1080298-d1332050-r275655485:1,Nous reviendrons!
g1080298-d4701165-r281527562,g1080298-d4701165-r281527562:0,"on s'attendait à mieux (attente, qualité moyenne)."
g1080298-d4701165-r281527562,g1080298-d4701165-r281527562:1,"Pas mal, mais sans plus."
g1080298-d4701165-r281527562,g1080298-d4701165-r281527562:2,Nous ne pensons pas y retourner
g1080298-d4701165-r281527562,g1080298-d4701165-r281527562:3,
g1080559-d3686505-r151173923,g1080559-d3686505-r151173923:0,Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire
g1080574-d1337519-r211045323,g1080574-d1337519-r211045323:0,"Une petite dame nous accueille sans le sourire mais surtout sans enthousiasme, ça devait l'énerver d'avoir des clients un mardi soir .... 3 tables."
g1080574-d1337519-r211045323,g1080574-d1337519-r211045323:1,"Bref, passons ...."
g1080574-d1337519-r211045323,g1080574-d1337519-r211045323:2,"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !"
g1080574-d1337519-r211045323,g1080574-d1337519-r211045323:3,Dessert tout sauf maison .... !
g1080574-d1337519-r211045323,g1080574-d1337519-r211045323:4,"Je ne conseille vraiment pas, même si votre frigo est vide et que les autres restau d'à côté sont pleins et que vous ne savez pas où aller ....."
g1080574-d1337519-r211045323,g1080574-d1337519-r211045323:5,Il vaut encore mieux aller au Mc Do !
g1582538-d3877732-r250915172,g1582538-d3877732-r250915172:0,Vraiment très agréablement surpris!
g1582538-d3877732-r250915172,g1582538-d3877732-r250915172:1,Le menu du jour est très bon et bien servi!
g1582538-d3877732-r250915172,g1582538-d3877732-r250915172:2,"toujours très original, on y goutte des plats qu'on ne verra pas autre part."
g1582538-d3877732-r250915172,g1582538-d3877732-r250915172:3,"La table des desserts donne vraiment envie, on vous y coupe une bonne part de tarte gourmande ou de gâteau frais, fait maison!"
g1582538-d3877732-r250915172,g1582538-d3877732-r250915172:4,On se sent un peu comme à la maison avec la qualité bien relevée!
g1582538-d3877732-r250915172,g1582538-d3877732-r250915172:5,Et l'équipe est adorable!
g1582538-d3877732-r250915172,g1582538-d3877732-r250915172:6,Y aller également pour la terrasse qui est très jolie!
g1833139-d7211477-r282922737,g1833139-d7211477-r282922737:0,concept étonnant au départ mais très éfficace car la cuisine est bonne et l'endroit convivial!! le tartare est excélent et les frites maison sont a volonté pour un prix tout a fait convenable!
g1833139-d7211477-r282922737,g1833139-d7211477-r282922737:1,très bien
g1833139-d7211477-r282922737,g1833139-d7211477-r282922737:2,
g187073-d1328515-r282975754,g187073-d1328515-r282975754:0,2 heures dattentes minumum aucun service et patronne execrable !
g187073-d1328515-r282975754,g187073-d1328515-r282975754:1,Tellement decu a deconseiller vivement !!
g187073-d1328515-r282975754,g187073-d1328515-r282975754:2,"Les anciens patrons navaient rien avoir, la patronne ny connait rien de rien en restauration"
g187073-d1328515-r282975754,g187073-d1328515-r282975754:3,
g187073-d2234111-r233672137,g187073-d2234111-r233672137:0,"situé dans la petite Venise avec terrasse au bord de l'eau, l'endroit semblait idéal pour cette journée passée à Colmar."
g187073-d2234111-r233672137,g187073-d2234111-r233672137:1,"Puis nous avons été, disons, surpris par l'accueil."
g187073-d2234111-r233672137,g187073-d2234111-r233672137:2,Un personnage assez dédaigneux nous a accueillis à contre cœur au vu de son attitude.
g187073-d2234111-r233672137,g187073-d2234111-r233672137:3,"Même si le repas fut assez copieux et bon, nous avons pas pris autant de plaisir que le lieu nous laissait espéré."
g187073-d2234111-r233672137,g187073-d2234111-r233672137:4,Etait ce la fin de saison qui voulait cela?
g187073-d2234111-r233672137,g187073-d2234111-r233672137:5,"Hormis ce personnage, les autres personnes de ce restaurants furent courtoises et très affables.. dommage"
g187073-d2234111-r233672137,g187073-d2234111-r233672137:6,
g187073-d2346663-r285268023,g187073-d2346663-r285268023:0,Au début c'était pas mal du tout puis petit à petit ca a baissé en qualité sans arrêts !
g187073-d2346663-r285268023,g187073-d2346663-r285268023:1,"Le service est moyen, les plats également et les prix sont élevés par rapport à la qualité et à la quantité"
g187073-d2346663-r285268023,g187073-d2346663-r285268023:2,
g187073-d2705770-r280684337,g187073-d2705770-r280684337:0,"Nous sommes habitués de l'établissement depuis 3ans, et le restaurant ne fais que s'améliorer."
g187073-d2705770-r280684337,g187073-d2705770-r280684337:1,"La cuisine est travaillée et change régulièrement, le service est très professionnel, attentionné et charmant."
g187073-d2705770-r280684337,g187073-d2705770-r280684337:2,Jamais déçus depuis 3 ans.
g187073-d2705770-r280684337,g187073-d2705770-r280684337:3,Continuez !
g187073-d6353467-r248081497,g187073-d6353467-r248081497:0,Nous y sommes allés par hasard et n'avons pas été déçus!
g187073-d6353467-r248081497,g187073-d6353467-r248081497:1,La chaleur de l'établissement et des serveurs contribuent à un bien-être certain!!
g187073-d6353467-r248081497,g187073-d6353467-r248081497:2,"Malgré le monde présent, nous avons été rapidement servis."
g187073-d6353467-r248081497,g187073-d6353467-r248081497:3,La nourriture et le vin proposé étaient succulents.
g187073-d6353467-r248081497,g187073-d6353467-r248081497:4,Nous y retournerons!
g187075-d1324447-r268262547,g187075-d1324447-r268262547:0,Accueil minable !
g187075-d1324447-r268262547,g187075-d1324447-r268262547:1,Attente interminable !
g187075-d1324447-r268262547,g187075-d1324447-r268262547:2,Premier plat servi : insectes présents !
g187075-d1324447-r268262547,g187075-d1324447-r268262547:3,Nous alertons le personnel qui rejette la faute sur nous (insectes venant de l'extérieur).
g187075-d1324447-r268262547,g187075-d1324447-r268262547:4,Nous laissons une seconde chance.
g187075-d1324447-r268262547,g187075-d1324447-r268262547:5,Deuxième plat servi : encore des INSECTES.
g187075-d1324447-r268262547,g187075-d1324447-r268262547:6,"Réponse du personnel : "" Si vous ne vouliez pas d'insectes, il fallait manger à l'intérieur !"""
g187075-d1324447-r268262547,g187075-d1324447-r268262547:7,Je déconseille fortement !
g187075-d2494303-r273809197,g187075-d2494303-r273809197:0,Je mange rarement les plats du jour dans les restaurants où je me rends mais j'ai fais une exception cette fois ci.
g187075-d2494303-r273809197,g187075-d2494303-r273809197:1,Les personnes avec qui je déjeunais ont commandé le pdj et j'ai donc fais comme eux histoire de ne pas nous retarder.
g187075-d2494303-r273809197,g187075-d2494303-r273809197:2,Celui-ci était d'un excellent rapport qualité/prix et très bon en plus.
g187075-d2494303-r273809197,g187075-d2494303-r273809197:3,L'accueil fait par la patronne est toujours souriant et sympathique et le service dynamique et professionnel.
g187075-d2494303-r273809197,g187075-d2494303-r273809197:4,Connaissant bien la cuisine de son mari je ne suis pas étonné de la qualité du plat du jour.
g187075-d2494303-r273809197,g187075-d2494303-r273809197:5,"Le cadre vient d'être rafraichi il y a quelques semaines et la maison à colombage qui abrite le restaurant a été rénovée également, bref : Que du positif."
g187075-d3489527-r254992608,g187075-d3489527-r254992608:0,"Petit restaurant au décor soigné, aux tables bien mises."
g187075-d3489527-r254992608,g187075-d3489527-r254992608:1,"L'accueil manque un peu de chaleur, le service qui suivra également."
g187075-d3489527-r254992608,g187075-d3489527-r254992608:2,"Les différents menus à base de ""Mezzés"" se ressemblent, les spécialités sont réussies pour certaines (hoummous, taboulé..), moins réussies pour d'autres comme par exemple la purée d'aubergine assez fade ou ces boulettes ayant un arrière goût ""brûlé""."
g187075-d3489527-r254992608,g187075-d3489527-r254992608:3,Nous sommes dans le classique du genre avec peu de surprise et des prix plutôt élevés.
g187075-d3489527-r254992608,g187075-d3489527-r254992608:4,Mention spéciale toutefois à la carte des vins (libanais) et au geste du restaurateur qui a offert une partie des desserts.
g187075-d3489527-r254992608,g187075-d3489527-r254992608:5,"Allons, une bonne soirée tout de même, mais un effort souhaité sur les goûts et saveurs méditerranéennes !"
g187077-d2250282-r285122402,g187077-d2250282-r285122402:0,A ne pas rater !
