rid,id,text
79,79:0,Being a PC user my whole life....
79,79:1,This computer is absolutely AMAZING!!!
79,79:2,10 plus hours of battery...
79,79:3,super fast processor and really nice graphics card..
79,79:4,and plenty of storage with 250 gb(though I will upgrade this and the ram..)
79,79:5,This computer is really fast and I'm shocked as to how easy it is to get used to...
79,79:6,I've only had mine a day but I'm already used to it...
79,79:7,MACS ARE AMAZING!!!
79,79:8,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!
10,10:0,the laptop was really good and it goes really fast just the way i thought it would of run.
10,10:1,i would really recommend to any person out there to get this laptop cause its really worth it.
10,10:2,and its really cheap and you wont regret buying it.
264,264:0,"As a lifelong Windows user, I was extremely pleased to make the change to Mac."
264,264:1,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;"
264,264:2,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere."
264,264:3,I highly recommend this computer for students looking for a solid machine to get them through college.
264,264:4,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document."
24,24:0,Oh my goodness-I am not a happy camper.
24,24:1,My HP is very heavy.
24,24:2,Not easy to carry.
24,24:3,The battery has never worked well.
24,24:4,The battery gets so HOT it is scary.
24,24:5,"Yet, HP won't do anything about the problem."
24,24:6,I returned the computer to HP and they kept it for 3 months.
24,24:7,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.
24,24:8,"So, you can imagine how unhappy I am with this item."
24,24:9,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.
24,24:10,I did contact HP and share how unhappy I am.
24,24:11,"Well, they don't care a bunch."
24,24:12,"But, at the same time they (the company) would not and could not do anything about my problem."
24,24:13,I would  say if you want to buy one of these machines be careful.
24,24:14,"And, if you are going to deal with HP be careful."
24,24:15,"In my house, HP is a nasty word."
277,277:0,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop."
277,277:1,The netbook is easier for me to take to bed and carry around with me.
277,277:2,"The screen takes some getting use to, because it is smaller than the laptop."
277,277:3,I have not have any problems.
178,178:0,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me."
178,178:1,He gave me this PC about 3 years ago and up to this point im still sitting here using it.
178,178:2,Its still going.
178,178:3,It is in the best condition and has a really high quality.
178,178:4,This is something i would deffinately reccomend to someone.
178,178:5,You will not regret buying such a great thing like this!
178,178:6,It can't get any better.
77,77:0,"Waited on getting this computer, but it has been a great change."
77,77:1,Ease of use is just one of the benefits I love about my Mac.
342,342:0,This laptop meets every expectation and Windows 7 is great!
342,342:1,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network."
342,342:2,It's even easy to hook up to other wireless networks.
342,342:3,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.
342,342:4,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.
348,348:0,"Most everything is fine with this machine: speed, capacity, build."
348,348:1,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail."
348,348:2,"Yes, I have it on the highest available setting."
347,347:0,I bought it for really cheap also and it's AMAZING.
347,347:1,Easy to start up and does not overheat as much as other laptops.
347,347:2,Recommended to people as their first laptop.
339,339:0,"Plain and simple, it(laptop) runs great and loads fast."
339,339:1,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets."
339,339:2,Love that it doesn't take up space like a regular computer.
273,273:0,I'm already hooked on the sleek look and dependability that this laptop has shown.
273,273:1,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around."
273,273:2,The unibody design is edgy and durable.
273,273:3,The LED backlit display makes my pictures pop so much more.
273,273:4,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.
273,273:5,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker."
273,273:6,A key contributor that led me to Mac is the art aspect.
273,273:7,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.
273,273:8,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.
273,273:9,It's more expensive but well worth it in the long run.
240,240:0,"Great product, very easy to use and great graphics."
240,240:1,"One drawback, I wish the keys were backlit."
240,240:2,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars."
243,243:0,It had most of the features and all of the power that I wanted to replace my desktop machine.
243,243:1,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.
243,243:2,I'm very happy with this machine!
285,285:0,"I love the size, keyboard, the functions."
285,285:1,I don't really have a complaint.
285,285:2,"It is easy to use, good quality and good price."
285,285:3,Perfect trifecta!
285,285:4,I would recommend this product.
212,212:0,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.
93,93:0,This is my first Dell I heard their customer service was lacking and that they were working on improving it!
93,93:1,I purchased this laptop 9 months ago!
93,93:2,The DVD burner broke after burning 3 DVD'd during that time!
93,93:3,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.
93,93:4,I am currently out of town and called to inform them the broken part would be returned when I got back in town.
93,93:5,If this is an improvement in Customer Service then I would hate too see what it was before!
93,93:6,I spoke to 4 different people and was told they needed to transfer me to a 5th person!
93,93:7,Needless to say I told them No and have a nice day and hung up!
93,93:8,I can guarantee this will be the last Dell I will ever purchase!
93,93:9,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!
93,93:10,I do not recommend this company or their products!!!!
252,252:0,"So far, a great product."
252,252:1,"High price tag, however."
252,252:2,Still trying to learn how to use it.
19,19:0,it is the worst computer dell ever made.
19,19:1,it is hard to fix and makes it a hassle to own one.
19,19:2,breaks easily.
19,19:3,only good thing is the graphics quality.
165,165:0,There are so many wonderful features and benefits to the new MacBook!
165,165:1,The #1 reason that is always repeated.
165,165:2,No Viruses!
165,165:3,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.
165,165:4,I am loyal to Apple.
165,165:5,The Macbooks worth every penny.
165,165:6,"They're easy, fun, powerful and will last a long time."
165,165:7,"The great 18 month same as cash financing and Advance Protection Plan which includes accidents like spills ., which Apple doesn't offer, is why I bought my MacBook at Best Buy."
165,165:8,I am very Happy!
111,111:0,This just keeps having it's hard drive replaced!
111,111:1,Acer won't replace the laptop.
111,111:2,the manufacturer's warranty only covers replacement/repair of parts.
111,111:3,This thing is a lemon.
292,292:0,This MacBook is an outstanding product with great value.
292,292:1,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.
292,292:2,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed."
292,292:3,It does run a little warm but that is a negligible concern.
359,359:0,I was so excited to receive the Toshiba L455 as a gift/bonus for some work I had done for a friend of mine!
359,359:1,I have owned it only two months!
359,359:2,I have had nothing but problems since the day I took it out of the box!
359,359:3,My first problem was with the pre-loaded Norton Firewall/Security program.
359,359:4,It would not let me connect to my Wifi system where I lived.
359,359:5,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.
359,359:6,"Then just the other day, my left ""mouse"" button snapped!"
359,359:7,"Being only 2 months old, I am not a happy camper!"
359,359:8,Buyer Beware.
359,359:9,"this one, in my opinion, might be a lemon!"
95,95:0,It rarely works and when it does it's incredibly slow.
95,95:1,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!
95,95:2,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!"
360,360:0,Like the price and operation.
360,360:1,"Some features arent friendly ( volume wheel, sound quality, etc."
360,360:2,"But, for the cost this is a winner."
66,66:0,I absolutely love my mac!
66,66:1,I can't imagine my life without it anymore!
66,66:2,It's perfect for everything and runs faster than an average pc!
384,384:0,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.
384,384:1,Apparently they are defective since they are not securely attached.
384,384:2,I can barely use any usb devices because they will not stay connected properly.
384,384:3,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.
384,384:4,I think I might rather suffer for something that is simple to fix in my opinion.
54,54:0,I bought this laptop Was the worst Laptop I've ever bought.
54,54:1,I spent alot of money on this product and its been a nightmare.
54,54:2,And having to deal with the company has been a even worse nightmare.
54,54:3,I sent it to them to fix in perfect condition but for what was wrong with it.
54,54:4,They sent it back with a huge crack in it and it still didn't work.
54,54:5,And that was the fourth time ive sent it to them to get fixed.
54,54:6,Its been a year and am still waiting to see what there going to do about my laptop.
54,54:7,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...
176,176:0,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.
176,176:1,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent."
176,176:2,"A little pricey but it is well, well worth it."
176,176:3,I've been a PC user and I just finally switched and I am never going back.
176,176:4,It is amazing.
59,59:0,In the first moth of owning this computer its hardrive failed which had to be replaced.
59,59:1,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.
59,59:2,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.
59,59:3,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.
170,170:0,Has a 5-6 hour battery life.
170,170:1,Much faster than my old windows laptop that died on me.
170,170:2,It is easy to use and lightweight.
170,170:3,Was very much worth the price i paid.
90,90:0,This netbook went bad on me after 3 days.
90,90:1,There is a blank lighted screen when I start and that is all.
90,90:2,I am also upset with CR for giving a good rating.
220,220:0,I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.
220,220:1,"Three weeks after I bought the netbook, the screen quit working."
220,220:2,I baby my electronics so I know for a fact it was defective and not anything that I did to it.
220,220:3,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work."
278,278:0,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.
278,278:1,To my mind much more usable than the toy called an IPad.
135,135:0,The So called laptop Runs to Slow and I hate it!
135,135:1,Do not  buy it!
135,135:2,It is the worst laptop ever
159,159:0,"The image is great, and the soud is excelent."
159,159:1,i love ths notebook.
57,57:0,I love the glass touchpad.
57,57:1,Easy learning curve.
57,57:2,Also the display is exceptional!
76,76:0,I have loved this since i took it out of the box.
76,76:1,The battery is really long.
76,76:2,"the features are great, the only thing it needs is better speakers."
28,28:0,Small and light weight.
28,28:1,Speakers too small to be of any real use.
28,28:2,Keyboard good sized and wasy to use.
28,28:3,I like it!
267,267:0,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.
132,132:0,"Needless to say, not to happy with the product."
167,167:0,This is a great machine!
167,167:1,"The design is awesome, quality is unprecedented."
169,169:0,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance."
197,197:0,It is by far one of the greatest investments I have ever made.
284,284:0,Consumer Report recommended Toshiba.
284,284:1,"Am very glad I bought it, great netbook, low price."
299,299:0,Very good quality and well made.
299,299:1,Great pick for portability and affordability.
299,299:2,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.
321,321:0,The only problem is a lack of screen resolutions!
